train_loss,step,epoch
5.534605503082275,49,0
3.5843982696533203,99,1
2.745816230773926,149,2
2.6591131687164307,199,3
2.619285821914673,249,4
2.7168164253234863,299,5
2.5087924003601074,349,6
2.493063449859619,399,7
2.4527087211608887,449,8
2.5145909786224365,499,9
2.448659896850586,549,10
2.4407808780670166,599,11
2.4001636505126953,649,12
2.3895926475524902,699,13
2.333273410797119,749,14
2.516235589981079,799,15
2.3886334896087646,849,16
2.2917869091033936,899,17
2.241732597351074,949,18
2.2545015811920166,999,19
