dataset;date;Денежная масса, млрд нац ден ед, Россия
69779;30.06.1995;152.8
69779;31.07.1995;162.4
69779;31.08.1995;173.6
69779;30.09.1995;182
69779;31.10.1995;186.6
69779;30.11.1995;200.2
69779;31.12.1995;211.3
69779;31.01.1996;220.4
69779;29.02.1996;231.8
69779;31.03.1996;245.4
69779;30.04.1996;249.8
69779;31.05.1996;253.3
69779;30.06.1996;260.6
69779;31.07.1996;268
69779;31.08.1996;274.4
69779;30.09.1996;279.8
69779;31.10.1996;282.9
69779;30.11.1996;288.7
69779;31.12.1996;275.6
69779;31.01.1997;295.3
69779;28.02.1997;302.4
69779;31.03.1997;310.7
69779;30.04.1997;317.3
69779;31.05.1997;327.2
69779;30.06.1997;343.8
69779;31.07.1997;358.1
69779;31.08.1997;363.9
69779;30.09.1997;367.3
69779;31.10.1997;373.4
69779;30.11.1997;364.6
69779;31.12.1997;357.4
69779;31.01.1998;372
69779;28.02.1998;371.2
69779;31.03.1998;370.6
69779;30.04.1998;373.5
69779;31.05.1998;374.4
69779;30.06.1998;365.9
69779;31.07.1998;359.8
69779;31.08.1998;349.9
69779;30.09.1998;378.2
69779;31.10.1998;391.5
69779;30.11.1998;414.5
69779;31.12.1998;432.6
69779;31.01.1999;458.9
69779;28.02.1999;478.5
69779;31.03.1999;490.9
69779;30.04.1999;520.5
69779;31.05.1999;551.4
69779;30.06.1999;569.4
69779;31.07.1999;586.9
69779;31.08.1999;604.5
69779;30.09.1999;616.9
69779;31.10.1999;647.7
69779;30.11.1999;672.4
69779;31.12.1999;678.4
69779;31.01.2000;724.3
69779;29.02.2000;755.6
69779;31.03.2000;781
69779;30.04.2000;808.4
69779;31.05.2000;846.4
69779;30.06.2000;886.2
69779;31.07.2000;937.9
69779;31.08.2000;976
69779;30.09.2000;1012.2
69779;31.10.2000;1029.8
69779;30.11.2000;1068.2
69779;31.12.2000;1091.2
69779;31.01.2001;1114.8
69779;28.02.2001;1143.3
69779;31.03.2001;1178
69779;30.04.2001;1230.7
69779;31.05.2001;1237.2
69779;30.06.2001;1274.4
69779;31.07.2001;1320.7
69779;31.08.2001;1368.3
69779;30.09.2001;1424
69779;31.10.2001;1472.9
69779;30.11.2001;1461.8
69779;31.12.2001;1525.5
69779;31.01.2002;1546.5
69779;28.02.2002;1569.7
69779;31.03.2002;1596.8
69779;30.04.2002;1643.4
69779;31.05.2002;1689.5
69779;30.06.2002;1729.1
69779;31.07.2002;1772.2
69779;31.08.2002;1816.4
69779;30.09.2002;1858.4
69779;31.10.2002;1933.4
69779;30.11.2002;1965.2
69779;31.12.2002;2018.5
69779;31.01.2003;2081.7
69779;28.02.2003;2160.3
69779;31.03.2003;2245.1
69779;30.04.2003;2343.8
69779;31.05.2003;2432.6
69779;30.06.2003;2566
69779;31.07.2003;2618
69779;31.08.2003;2689
69779;30.09.2003;2742
69779;31.10.2003;2802
69779;30.11.2003;2876
69779;31.12.2003;3040
69779;31.01.2004;3265
69779;29.02.2004;3396
69779;31.03.2004;3443
69779;30.04.2004;3490
69779;31.05.2004;3498
69779;30.06.2004;3598
69779;31.07.2004;3600
69779;31.08.2004;3646
69779;30.09.2004;3721
69779;31.10.2004;3867
69779;30.11.2004;3997
69779;31.12.2004;4120
69779;31.01.2005;4244
69779;28.02.2005;4384
69779;31.03.2005;4492
69779;30.04.2005;4596
69779;31.05.2005;4656
69779;30.06.2005;4820
69779;31.07.2005;4954
69779;31.08.2005;5128
69779;30.09.2005;5270
69779;31.10.2005;5424
69779;30.11.2005;5534
69779;31.12.2005;5708
69779;31.01.2006;5892
69779;28.02.2006;5994
69779;31.03.2006;6151
69779;30.04.2006;6360
69779;31.05.2006;6646
69779;30.06.2006;6910
69779;31.07.2006;7191
69779;31.08.2006;7450
69779;30.09.2006;7732
69779;31.10.2006;7942
69779;30.11.2006;8167
69779;31.12.2006;8494
69779;31.01.2007;8739
69779;28.02.2007;8992
69779;31.03.2007;9361
69779;30.04.2007;10001
69779;31.05.2007;10654
69779;30.06.2007;10621
69779;31.07.2007;10901
69779;31.08.2007;11174
69779;30.09.2007;11505
69779;31.10.2007;11702
69779;30.11.2007;12028
69779;31.12.2007;12185
69779;31.01.2008;12562
69779;29.02.2008;12756
69779;31.03.2008;12930
69779;30.04.2008;12985
69779;31.05.2008;13267
69779;30.06.2008;13621
69779;31.07.2008;13912
69779;31.08.2008;14295
69779;30.09.2008;14137
69779;31.10.2008;13530
69779;30.11.2008;13153
69779;31.12.2008;12296
69779;31.01.2009;11442
69779;28.02.2009;11502
69779;31.03.2009;11524
69779;30.04.2009;11858
69779;31.05.2009;12309
69779;30.06.2009;12477
69779;31.07.2009;12671
69779;31.08.2009;12911
69779;30.09.2009;13242
69779;31.10.2009;13746
69779;30.11.2009;14051
69779;31.12.2009;14473
69779;31.01.2010;14845
69779;28.02.2010;15238
69779;31.03.2010;15564
69779;30.04.2010;16062
69779;31.05.2010;16459
69779;30.06.2010;16728
69779;31.07.2010;17149
69779;31.08.2010;17609
69779;30.09.2010;17935
69779;31.10.2010;18359
69779;30.11.2010;18700
69779;31.12.2010;18930
69779;31.01.2011;19200
69779;28.02.2011;19480
69779;31.03.2011;19698
69779;30.04.2011;19948
69779;31.05.2011;20154
69779;30.06.2011;20572
69779;31.07.2011;20950
69779;31.08.2011;21297
69779;30.09.2011;21766
69779;31.10.2011;21985
69779;30.11.2011;22454
69779;31.12.2011;22904
69779;31.01.2012;23229
69779;29.02.2012;23453
69779;31.03.2012;23582
69779;30.04.2012;23836
69779;31.05.2012;24077
69779;30.06.2012;24287
69779;31.07.2012;24429
69779;31.08.2012;24493
69779;30.09.2012;24807
69779;31.10.2012;25180
69779;30.11.2012;25266
69779;31.12.2012;25746
69779;31.01.2013;26211
69779;28.02.2013;26662
69779;31.03.2013;27040
69779;30.04.2013;27251
69779;31.05.2013;27580
69779;30.06.2013;28089
69779;31.07.2013;28596
69779;31.08.2013;28713
69779;30.09.2013;28795
69779;31.10.2013;29123
69779;30.11.2013;29460
69779;31.12.2013;29542
69779;31.01.2014;29763
69779;28.02.2014;29988
69779;31.03.2014;29366
69779;30.04.2014;29774
69779;31.05.2014;29874
69779;30.06.2014;29975
69779;31.07.2014;30332
69779;31.08.2014;30559
69779;30.09.2014;30767
69779;31.10.2014;30620
69779;30.11.2014;30745
69779;31.12.2014;30806
69779;31.01.2015;30906
69779;28.02.2015;30989
69779;31.03.2015;30825
69779;30.04.2015;31517
69779;31.05.2015;31742
69779;30.06.2015;31765
69779;31.07.2015;32089
69779;31.08.2015;32499
69779;30.09.2015;32505
69779;31.10.2015;32888
69779;30.11.2015;33293
69779;31.12.2015;34280
69779;31.01.2016;33796
69779;29.02.2016;34103
69779;31.03.2016;34564
69779;30.04.2016;34838
69779;31.05.2016;35551
69779;30.06.2016;35712
69779;31.07.2016;36101
69779;31.08.2016;36354
69779;30.09.2016;36561
69779;31.10.2016;36852
69779;30.11.2016;37024
69779;31.12.2016;37320
69779;31.01.2017;37908
69779;28.02.2017;38231
69779;31.03.2017;38375
69779;30.04.2017;38426
69779;31.05.2017;39183
69779;30.06.2017;39364
69779;31.07.2017;39395
69779;31.08.2017;39662
69779;30.09.2017;39973
69779;31.10.2017;40466
69779;30.11.2017;40739
69779;31.12.2017;41232
69779;31.01.2018;41518
69779;28.02.2018;41828
69779;31.03.2018;42219
69779;30.04.2018;42899
69779;31.05.2018;43262
69779;30.06.2018;43847
69779;31.07.2018;44086
69779;31.08.2018;44590
69779;30.09.2018;44671
69779;31.10.2018;45098
69779;30.11.2018;45433
69779;31.12.2018;45735
69779;31.01.2019;45640
69779;28.02.2019;45970
69779;31.03.2019;46007
69779;30.04.2019;46202
69779;31.05.2019;46685
69779;30.06.2019;47135
69779;31.07.2019;47683
69779;31.08.2019;47866
69779;30.09.2019;48637
69779;31.10.2019;49003
69779;30.11.2019;49772
69779;31.12.2019;50107
69779;31.01.2020;50587
69779;29.02.2020;50892
69779;31.03.2020;52139
69779;30.04.2020;52784
69779;31.05.2020;53106
69779;30.06.2020;54236
69779;31.07.2020;55065
69779;31.08.2020;55719
69779;30.09.2020;56409
69779;31.10.2020;56775
69779;30.11.2020;56824
69779;31.12.2020;56946
69779;31.01.2021;57378
69779;28.02.2021;57704
69779;31.03.2021;58037
69779;30.04.2021;58926
69779;31.05.2021;59286
69779;30.06.2021;59589
69779;31.07.2021;59906
69779;31.08.2021;60273
69779;30.09.2021;60967
69779;31.10.2021;61804
69779;30.11.2021;63102
69779;31.12.2021;64179
69779;31.01.2022;64983
69779;28.02.2022;66072
69779;31.03.2022;67891
69779;30.04.2022;68204
69779;31.05.2022;69095
69779;30.06.2022;69751
69779;31.07.2022;71613
69779;31.08.2022;73981
69779;30.09.2022;75324
69779;31.10.2022;76853
69779;30.11.2022;77968
69779;31.12.2022;79807
69779;31.01.2023;81806
69779;28.02.2023;83151
69779;31.03.2023;84159
69779;30.04.2023;84418
69779;31.05.2023;86433
